url,date,rawContent,tweetId,username,userId,userDisplayName,userVerified,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,sourceUrl,sourceLabel,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,coordinates,place,hashtags,cashtags,card,viewCount,vibe,bookmarkCount,pinned,conversationControlPolicy
https://twitter.com/TheKyannaAlex/status/1663659721205907456,2023-05-30 21:32:41+00:00,@Sprite has me in a NASTY chokehold with these Legacy drinks. Omg! I’m in LOVEEE,1663659721205907456,TheKyannaAlex,71299456,KyannaAlexandra 👑,False,1,0,0,0,1663659721205907456,en,,,,,,,,,,,,54.0,,0,,everyone
https://twitter.com/Its_Ghxst__/status/1663198935404494853,2023-05-29 15:01:41+00:00,@Sprite done fucked the game up with this one 🥵🥴 I need some tequila https://t.co/KdorzJSljM,1663198935404494853,Its_Ghxst__,1295904850232909825,GHXSTIII ᴱᴱ,False,0,0,0,0,1663198935404494853,en,,,,,,,,,,,,8.0,,0,,everyone
https://twitter.com/TheRealToxik/status/1663197822458445824,2023-05-29 14:57:16+00:00,"@Sprite done fucked the game up with this one, I need some tequila 🥴 https://t.co/TFoP3M6JTY",1663197822458445824,TheRealToxik,1403536461656436738,Kenneth,False,0,0,0,0,1663197822458445824,en,,,,,,,,,,,,4.0,,0,,everyone
https://twitter.com/SnazzySazerac/status/1663151090198560771,2023-05-29 11:51:34+00:00,@Sprite I’m Latino. And a bartender. You have no idea the amount of text convos I’ve been in that could’ve used a lime emoji. Plz make this happen @Apple,1663151090198560771,SnazzySazerac,1516986894,Federico Alvarado,False,0,0,0,0,1642164949156872195,en,,,,,1.6421649491568722e+18,https://twitter.com/Sprite,,,,,,25.0,,0,,everyone
https://twitter.com/LaiFongChan1/status/1663047883036454912,2023-05-29 05:01:27+00:00,@Sprite @WWEXOL @exo9__kings 😊😊,1663047883036454912,LaiFongChan1,1433838307423621124,Lai Fong Chan,False,0,0,1,0,1660623431350784002,qme,,,,,1.6617925462662513e+18,https://twitter.com/Sprite,,,,,,86.0,,0,,everyone
https://twitter.com/CjFrozen/status/1663016521868754945,2023-05-29 02:56:50+00:00,@Sprite I got a sprite soda bottle and it literally had metal in it and the headache that followed has been the worst ever,1663016521868754945,CjFrozen,1041787946960076801,PHNM CJFrozen #cjnation 🌈,False,1,0,0,0,1663016521868754945,en,,,,,,,,,,,,39.0,,0,,everyone
https://twitter.com/DodiDomDad/status/1662922159457546240,2023-05-28 20:41:53+00:00,"@Sprite Some ⚪️🗑️ jerk @Walmart made a snarky comment about how he disapproves of your very pink @Sprite legacy because it is “woke”. I would bot have noticed it otherwise. It is tasty, i like the color and if it is woke keep it that way. ⚪️🗑️ will be ⚪️🗑️ no matter what",1662922159457546240,DodiDomDad,1660476582203473922,DodiDomDaddy,False,0,0,0,0,1651248897312935938,en,,,,,1.651248897312936e+18,https://twitter.com/Sprite,,,,,,5.0,,0,,everyone
https://twitter.com/Tankbro11/status/1662886576047915009,2023-05-28 18:20:29+00:00,@Sprite I Found Sprite Zero Sugar https://t.co/gZElEAFrYZ,1662886576047915009,Tankbro11,1107218498240040960,Tankbro11,False,0,0,1,0,1662886576047915009,en,,,,,,,"Coordinates(longitude=-97.350366, latitude=49.713679)","Place(id='0811cf61cd9ea52f', fullName='Winnipeg, Manitoba', name='Winnipeg', type='city', country='Canada', countryCode='CA')",,,,12.0,,0,,everyone
https://twitter.com/tankbro0/status/1662884269822480394,2023-05-28 18:11:19+00:00,@Sprite I Found Sprite Zero Sugar https://t.co/OSYl9U2wTP,1662884269822480394,tankbro0,3263899382,Tankbro0,False,0,0,1,0,1662884269822480394,en,,,,,,,"Coordinates(longitude=-97.350366, latitude=49.713679)","Place(id='0811cf61cd9ea52f', fullName='Winnipeg, Manitoba', name='Winnipeg', type='city', country='Canada', countryCode='CA')",,,,14.0,,0,,everyone
https://twitter.com/JayhawkBob13/status/1662796344644325380,2023-05-28 12:21:56+00:00,@Sprite any plans for zero sugar Lymonade??,1662796344644325380,JayhawkBob13,285833648,Robert M. Berry,False,0,0,0,0,1662796344644325380,en,,,,,,,,,,,,1.0,,0,,everyone
https://twitter.com/EdsonMatumoto/status/1662508782486798340,2023-05-27 17:19:16+00:00,"@Sprite

NÃO COMPRO MAIS .

EM CASA NÃO ENTRA .",1662508782486798340,EdsonMatumoto,1612180548981506050,BRASIL,False,0,0,0,0,1662508782486798340,pt,,,,https://twitter.com/Its__Fla/status/1662476742487859202,,,,,,,,4.0,,0,,everyone
https://twitter.com/notcottonperson/status/1662454938654343171,2023-05-27 13:45:18+00:00,"@Sprite Ya, pónganlo en spotify 🕴🏻",1662454938654343171,notcottonperson,1099370850518732800,Ren | Alive | Myeonzart,False,0,0,0,0,1660485913145913346,es,,,,,1.6621128376096973e+18,https://twitter.com/Sprite,,,,,,334.0,,0,,everyone
https://twitter.com/_mayzyx/status/1662419362152693760,2023-05-27 11:23:56+00:00,@Sprite @zhanglayixing2 @Katheri29758696 RELASE IT ON SPOTIFY!!!!!!!!!!!,1662419362152693760,_mayzyx,957021842128203776,May,False,0,0,2,0,1660485913145913346,en,,,,,1.6621128376096973e+18,https://twitter.com/Sprite,,,,,,390.0,,0,,everyone
https://twitter.com/minkisxingmi/status/1662387561808158720,2023-05-27 09:17:35+00:00,@Sprite @Katheri29758696 BRUH WHEN WILL IT BE ON SPOTIFY,1662387561808158720,minkisxingmi,1269906469165490177,Dreaming of Yixing's Grand Line ⛴️,False,1,0,5,0,1660485913145913346,en,,,,,1.6621128376096973e+18,https://twitter.com/Sprite,,,,,,494.0,,0,,everyone
https://twitter.com/LetsTal92204877/status/1662283374323433475,2023-05-27 02:23:34+00:00,@Sprite  “Now That’s A Quench worth Thirstin for” https://t.co/QCIYeuGvFv,1662283374323433475,LetsTal92204877,1536817488041762820,Lets Talk,False,0,0,0,0,1662283374323433475,en,,,,,,,,,,,,2.0,,0,,everyone
https://twitter.com/Rainlikesartxd/status/1662184753599004673,2023-05-26 19:51:41+00:00,@Sprite i lvoe you im drinking sprit e right nrw,1662184753599004673,Rainlikesartxd,1630716058850959361,Rainxd ☆ #sptwt,False,0,1,0,0,1662184753599004673,en,,,,,,,,,,,,20.0,,0,,everyone
https://twitter.com/BigMoHoe/status/1662171149860519949,2023-05-26 18:57:38+00:00,@Sprite from McDonalds is always spicy.,1662171149860519949,BigMoHoe,544098564,Big Moe,False,1,0,0,0,1662171149860519949,en,,,,,,,,,,,,27.0,,0,,everyone
https://twitter.com/CheechOrtizz/status/1662154779085111296,2023-05-26 17:52:35+00:00,@Sprite when we getting grape sprite in 2 liters ? Stop playin the streets need it,1662154779085111296,CheechOrtizz,393249734,Cheech Ortiz,False,0,0,0,0,1662154779085111296,en,,,,,,,,,,,,10.0,,0,,everyone
https://twitter.com/Loyal_Beauty_1/status/1662136791372120079,2023-05-26 16:41:06+00:00,@Sprite is showing out!!! https://t.co/5ThsKd8GCb,1662136791372120079,Loyal_Beauty_1,350249817,Loyal,False,0,0,4,0,1662136791372120079,en,,,,,,,,,,,,842.0,,0,,everyone
https://twitter.com/MysticPappa/status/1662104354533326855,2023-05-26 14:32:13+00:00,@Sprite take the lime out. We want fizzy strawberry lemonade 😋 https://t.co/k0cvkBLcYs,1662104354533326855,MysticPappa,1355070347142438914,John.Conley,False,0,0,0,0,1662104354533326855,en,,,,,,,,,,,,9.0,,0,,everyone
https://twitter.com/exo_ilove/status/1662099188468060160,2023-05-26 14:11:41+00:00,"@Sprite I know  😎
BTW i wanna buy LAY's Merch of Sprite and it's really hard to buy it from china so pls make it available for international fans too.. 
And yes we love the song ""Alive""..and would love to add it on my spotify playlist..so bring it on spotify",1662099188468060160,exo_ilove,1378412810229538821,𝓜𝓸𝓸𝓷,False,0,0,1,0,1661704505036247041,en,,,,,1.6618006281154396e+18,https://twitter.com/Sprite,,,,,,42.0,,0,,everyone
